station area Latitude Longitude city
捷運芝山站(1號出口) 士林區 25.10225 121.52286 台北市
至誠公園 士林區 25.10143 121.53585 台北市
原住民文化主題公園 士林區 25.10113 121.55159 台北市
通河東街2段10巷口 士林區 25.09106 121.51502 台北市
梅林新村 士林區 25.09755 121.54036 台北市
延平北中正路口 士林區 25.08678 121.50948 台北市
重慶北路四段190巷口 士林區 25.08505 121.51166 台北市
重慶北葫東街口 士林區 25.08393 121.51169 台北市
葫蘆國小 士林區 25.08254 121.5075 台北市
士林3號廣場 士林區 25.10459 121.52417 台北市
社正公園 士林區 25.08824 121.51054 台北市
社子國小 士林區 25.09058 121.50142 台北市
社中街384巷口 士林區 25.09346 121.50376 台北市
忠誠路一段138號 士林區 25.10641 121.52944 台北市
社子公園 士林區 25.0902 121.50622 台北市
國立故宮博物院 士林區 25.09833 121.54788 台北市
泰北高中 士林區 25.09763 121.53402 台北市
後港公園 士林區 25.09312 121.51419 台北市
重慶北路四段117號 士林區 25.08279 121.51219 台北市
社子島島頭公園 士林區 25.10893 121.46639 台北市
延平北路八段133巷口 士林區 25.10304 121.48297 台北市
坤天亭 士林區 25.1064 121.4836 台北市
社子島濕地解說小築 士林區 25.11314 121.48974 台北市
福安國中 士林區 25.10261 121.48819 台北市
福安消防分隊 士林區 25.09669 121.49706 台北市
聖山綠地 士林區 25.10696 121.53234 台北市
芝山國小 士林區 25.11044 121.53595 台北市
士林新天地 士林區 25.08899 121.51751 台北市
蘭雅國小 士林區 25.10775 121.52312 台北市
中正基河路口 士林區 25.0933 121.51962 台北市
福林公園(中正路) 士林區 25.09609 121.53006 台北市
至善臨溪路口 士林區 25.09709 121.54229 台北市
市立圖書館葫蘆堵分館 士林區 25.08217 121.51074 台北市
東山路110巷口 士林區 25.11306 121.53945 台北市
永平社會住宅 士林區 25.08887 121.50314 台北市
雨農橋 士林區 25.10012 121.53253 台北市
通河街76巷/承德路四段10巷口 士林區 25.08019 121.5202 台北市
芝山聖佑宮 士林區 25.10455 121.53025 台北市
至誠雨聲街口 士林區 25.10199 121.52927 台北市
捷運線型公園(後街) 士林區 25.09812 121.52449 台北市
天母公園 士林區 25.12408 121.53003 台北市
基河文林路口 士林區 25.08637 121.5247 台北市
文林福華路口 士林區 25.10094 121.52243 台北市
劍潭海外青年活動中心_1 士林區 25.0796 121.5237 台北市
社子國小_1 士林區 25.09029 121.50189 台北市
捷運劍潭站(1號出口) 士林區 25.08577 121.52531 台北市
德行東山路口 士林區 25.1107 121.53999 台北市
重慶北通河西街口 士林區 25.08756 121.51177 台北市
葫蘆國小(延平北路五段285巷) 士林區 25.08406 121.5067 台北市
社子市場 士林區 25.0881 121.50873 台北市
士林區農會社子分部 士林區 25.08912 121.5049 台北市
承德劍潭路口 士林區 25.0841 121.52341 台北市
文林路101巷口 士林區 25.08761 121.52608 台北市
